1044
0	0 0
1	0 1	5,6
3	0 2	4,6 5,6
7	0 3	3,6 4,6 5,6
15	0 4	2,6 3,6 4,6 5,6
31	0 5	1,6 2,6 3,6 4,6 5,6
63	1 6	0,6 1,6 2,6 3,6 4,6 5,6
67	0 3	4,5 4,6 5,6
68	0 2	3,6 4,5
69	0 3	3,6 4,5 5,6
71	0 4	3,6 4,5 4,6 5,6
76	0 3	2,6 3,6 4,5
77	0 4	2,6 3,6 4,5 5,6
79	0 5	2,6 3,6 4,5 4,6 5,6
92	0 4	1,6 2,6 3,6 4,5
93	0 5	1,6 2,6 3,6 4,5 5,6
95	0 6	1,6 2,6 3,6 4,5 4,6 5,6
124	0 5	0,6 1,6 2,6 3,6 4,5
125	1 6	0,6 1,6 2,6 3,6 4,5 5,6
127	1 7	0,6 1,6 2,6 3,6 4,5 4,6 5,6
198	0 4	3,5 3,6 4,5 4,6
199	0 5	3,5 3,6 4,5 4,6 5,6
202	0 4	2,6 3,5 4,5 4,6
203	0 5	2,6 3,5 4,5 4,6 5,6
206	0 5	2,6 3,5 3,6 4,5 4,6
207	0 6	2,6 3,5 3,6 4,5 4,6 5,6
216	0 4	1,6 2,6 3,5 4,5
217	0 5	1,6 2,6 3,5 4,5 5,6
218	0 5	1,6 2,6 3,5 4,5 4,6
219	0 6	1,6 2,6 3,5 4,5 4,6 5,6
222	0 6	1,6 2,6 3,5 3,6 4,5 4,6
223	0 7	1,6 2,6 3,5 3,6 4,5 4,6 5,6
248	0 5	0,6 1,6 2,6 3,5 4,5
249	1 6	0,6 1,6 2,6 3,5 4,5 5,6
250	1 6	0,6 1,6 2,6 3,5 4,5 4,6
251	1 7	0,6 1,6 2,6 3,5 4,5 4,6 5,6
254	1 7	0,6 1,6 2,6 3,5 3,6 4,5 4,6
255	1 8	0,6 1,6 2,6 3,5 3,6 4,5 4,6 5,6
462	0 6	2,5 2,6 3,5 3,6 4,5 4,6
463	0 7	2,5 2,6 3,5 3,6 4,5 4,6 5,6
470	0 6	1,6 2,5 3,5 3,6 4,5 4,6
471	0 7	1,6 2,5 3,5 3,6 4,5 4,6 5,6
478	0 7	1,6 2,5 2,6 3,5 3,6 4,5 4,6
479	0 8	1,6 2,5 2,6 3,5 3,6 4,5 4,6 5,6
498	1 6	0,6 1,6 2,5 3,5 4,5 4,6
499	1 7	0,6 1,6 2,5 3,5 4,5 4,6 5,6
502	1 7	0,6 1,6 2,5 3,5 3,6 4,5 4,6
503	1 8	0,6 1,6 2,5 3,5 3,6 4,5 4,6 5,6
510	1 8	0,6 1,6 2,5 2,6 3,5 3,6 4,5 4,6
511	1 9	0,6 1,6 2,5 2,6 3,5 3,6 4,5 4,6 5,6
990	0 8	1,5 1,6 2,5 2,6 3,5 3,6 4,5 4,6
991	0 9	1,5 1,6 2,5 2,6 3,5 3,6 4,5 4,6 5,6
1006	1 8	0,6 1,5 2,5 2,6 3,5 3,6 4,5 4,6
